country	country_code	year_week	new_cases	variant	percent_variant	variant_name	number_cases_ratio	population
Austria	AT	2021-40	12784	B.1.617.2	99.1	delta	12668.944	8901064.0
Austria	AT	2021-41	15361	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-41	15361	B.1.617.2	99.5	delta	15284.195	8901064.0
Austria	AT	2021-42	23858	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-42	23858	B.1.617.2	99.7	delta	23786.426	8901064.0
Austria	AT	2021-43	34575	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-43	34575	B.1.617.2	99.3	delta	34332.975	8901064.0
Austria	AT	2021-44	56500	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-44	56500	B.1.617.2	99.7	delta	56330.5	8901064.0
Austria	AT	2021-45	78827	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-45	78827	B.1.617.2	100.0	delta	78827.0	8901064.0
Austria	AT	2021-46	97340	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-46	97340	B.1.617.2	100.0	delta	97340.0	8901064.0
Austria	AT	2021-47	82703	B.1.1.529	11.9	omicron	9841.657000000001	8901064.0
Austria	AT	2021-47	82703	B.1.617.2	88.1	delta	72861.343	8901064.0
Austria	AT	2021-48	50911	B.1.1.529	12.5	omicron	6363.875	8901064.0
Austria	AT	2021-48	50911	B.1.617.2	87.5	delta	44547.125	8901064.0
Austria	AT	2021-49	29339	B.1.1.529	26.3	omicron	7716.157	8901064.0
Austria	AT	2021-49	29339	B.1.617.2	71.1	delta	20860.029	8901064.0
Austria	AT	2021-50	18872	B.1.1.529	100.0	omicron	18872.0	8901064.0
Austria	AT	2021-50	18872	B.1.617.2	0.0	delta	0.0	8901064.0
Austria	AT	2021-51	14658	B.1.1.529		omicron		8901064.0
Austria	AT	2021-51	14658	B.1.617.2		delta		8901064.0
Austria	AT	2021-52	23268	B.1.1.529		omicron		8901064.0
Austria	AT	2021-52	23268	B.1.617.2		delta		8901064.0
Austria	AT	2020-53	14895	B.1.617.2	1.5	delta	223.42499999999998	8901064.0
Austria	AT	2021-01	14634	B.1.617.2	2.6	delta	380.48400000000004	8901064.0
Austria	AT	2021-02	10947	B.1.617.2	0.8	delta	87.57600000000001	8901064.0
Austria	AT	2021-03	10165	B.1.617.2	0.6	delta	60.99	8901064.0
Austria	AT	2021-04	9513	B.1.617.2	0.3	delta	28.539	8901064.0
Austria	AT	2021-05	9119	B.1.617.2	0.3	delta	27.357	8901064.0
Austria	AT	2021-06	9457	B.1.617.2	0.2	delta	18.914	8901064.0
Austria	AT	2021-07	11635	B.1.617.2	0.1	delta	11.635	8901064.0
Austria	AT	2021-08	14197	B.1.617.2	0.1	delta	14.197000000000001	8901064.0
Austria	AT	2021-09	16324	B.1.617.2	0.1	delta	16.324	8901064.0
Austria	AT	2021-10	18225	B.1.617.2	0.1	delta	18.225	8901064.0
Austria	AT	2021-11	21094	B.1.617.2	0.1	delta	21.094	8901064.0
Austria	AT	2021-12	22326	B.1.617.2	0.1	delta	22.326	8901064.0
Austria	AT	2021-13	20788	B.1.617.2	0.1	delta	20.788	8901064.0
Austria	AT	2021-14	17616	B.1.617.2	0.1	delta	17.616	8901064.0
Austria	AT	2021-15	16822	B.1.617.2	0.1	delta	16.822	8901064.0
Austria	AT	2021-16	15048	B.1.617.2	0.1	delta	15.048	8901064.0
Austria	AT	2021-17	12537	B.1.617.2	0.1	delta	12.537	8901064.0
Austria	AT	2021-18	9021	B.1.617.2	0.1	delta	9.021	8901064.0
Austria	AT	2021-19	5736	B.1.617.2	0.2	delta	11.472	8901064.0
Austria	AT	2021-20	4156	B.1.617.2	0.4	delta	16.624	8901064.0
Austria	AT	2021-21	3160	B.1.617.2	1.2	delta	37.92	8901064.0
Austria	AT	2021-22	2424	B.1.617.2	3.8	delta	92.112	8901064.0
Austria	AT	2021-23	1685	B.1.617.2	15.2	delta	256.12	8901064.0
Austria	AT	2021-24	1002	B.1.617.2	40.6	delta	406.812	8901064.0
Austria	AT	2021-25	679	B.1.617.2	56.2	delta	381.598	8901064.0
Austria	AT	2021-26	633	B.1.617.2	74.5	delta	471.585	8901064.0
Austria	AT	2021-27	1093	B.1.617.2	89.1	delta	973.8629999999999	8901064.0
Austria	AT	2021-28	2192	B.1.617.2	95.1	delta	2084.592	8901064.0
Austria	AT	2021-29	2532	B.1.617.2	97.9	delta	2478.8280000000004	8901064.0
Austria	AT	2021-30	3251	B.1.617.2	98.8	delta	3211.988	8901064.0
Austria	AT	2021-31	3667	B.1.617.2	98.9	delta	3626.6630000000005	8901064.0
Austria	AT	2021-32	5900	B.1.617.2	99.3	delta	5858.7	8901064.0
Austria	AT	2021-33	8063	B.1.617.2	99.4	delta	8014.622000000001	8901064.0
Austria	AT	2021-34	9436	B.1.617.2	99.3	delta	9369.948	8901064.0
Austria	AT	2021-35	11306	B.1.617.2	99.5	delta	11249.47	8901064.0
Austria	AT	2021-36	14059	B.1.617.2	99.6	delta	14002.764	8901064.0
Austria	AT	2021-37	13749	B.1.617.2	99.9	delta	13735.251000000002	8901064.0
Austria	AT	2021-38	11762	B.1.617.2	99.5	delta	11703.19	8901064.0
Austria	AT	2021-39	12594	B.1.617.2	99.2	delta	12493.248	8901064.0
Austria	AT	2021-40	12784	B.1.617.2	99.1	delta	12668.944	8901064.0
Austria	AT	2021-41	15361	B.1.617.2	99.6	delta	15299.556	8901064.0
Austria	AT	2021-42	23858	B.1.617.2	99.8	delta	23810.284	8901064.0
Austria	AT	2021-43	34575	B.1.617.2	100.0	delta	34575.0	8901064.0
Austria	AT	2021-44	56500	B.1.617.2	100.0	delta	56500.0	8901064.0
Austria	AT	2021-45	78827	B.1.617.2	100.0	delta	78827.0	8901064.0
Austria	AT	2021-46	97340	B.1.617.2	100.0	delta	97340.0	8901064.0
Austria	AT	2021-47	82703	B.1.1.529	0.1	omicron	82.703	8901064.0
Austria	AT	2021-47	82703	B.1.617.2	99.9	delta	82620.297	8901064.0
Austria	AT	2021-48	50911	B.1.1.529	0.3	omicron	152.733	8901064.0
Austria	AT	2021-48	50911	B.1.617.2	99.7	delta	50758.267	8901064.0
Austria	AT	2021-49	29339	B.1.1.529	0.5	omicron	146.695	8901064.0
Austria	AT	2021-49	29339	B.1.617.2	99.4	delta	29162.966000000004	8901064.0
Austria	AT	2021-50	18872	B.1.1.529	4.8	omicron	905.856	8901064.0
Austria	AT	2021-50	18872	B.1.617.2	95.1	delta	17947.272	8901064.0
Austria	AT	2021-51	14658	B.1.1.529	24.4	omicron	3576.552	8901064.0
Austria	AT	2021-51	14658	B.1.617.2	75.4	delta	11052.132	8901064.0
Austria	AT	2021-52	23268	B.1.1.529	61.0	omicron	14193.48	8901064.0
Austria	AT	2021-52	23268	B.1.617.2	38.4	delta	8934.912	8901064.0
Belgium	BE	2020-40	18895	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-40	18895	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-41	38852	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-41	38852	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-42	72232	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-42	72232	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-43	105383	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-43	105383	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-44	99584	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-44	99584	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-45	54006	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-45	54006	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-46	33967	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-46	33967	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-47	22312	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-47	22312	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-48	16261	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-48	16261	B.1.617.2	0.0	delta	0.0	11522440.0
